From	To	Species	Gene Name
MLH1	ENSG00000076242	Homo sapiens	mutL homolog 1(MLH1)
NFKB1	ENSG00000109320	Homo sapiens	nuclear factor kappa B subunit 1(NFKB1)
NFKB2	ENSG00000077150	Homo sapiens	nuclear factor kappa B subunit 2(NFKB2)
GLI2	ENSG00000074047	Homo sapiens	GLI family zinc finger 2(GLI2)
PTEN	ENSG00000171862	Homo sapiens	phosphatase and tensin homolog(PTEN)
GLI3	ENSG00000106571	Homo sapiens	GLI family zinc finger 3(GLI3)
FLT3LG	ENSG00000090554	Homo sapiens	fms related tyrosine kinase 3 ligand(FLT3LG)
GLI1	ENSG00000111087	Homo sapiens	GLI family zinc finger 1(GLI1)
EDNRA	ENSG00000151617	Homo sapiens	endothelin receptor type A(EDNRA)
EDNRB	ENSG00000136160	Homo sapiens	endothelin receptor type B(EDNRB)
TGFA	ENSG00000163235	Homo sapiens	transforming growth factor alpha(TGFA)
NOS2	ENSG00000007171	Homo sapiens	nitric oxide synthase 2(NOS2)
HHIP	ENSG00000164161	Homo sapiens	hedgehog interacting protein(HHIP)
CTBP1	ENSG00000159692	Homo sapiens	C-terminal binding protein 1(CTBP1)
CTBP2	ENSG00000175029	Homo sapiens	C-terminal binding protein 2(CTBP2)
RAD51	ENSG00000051180	Homo sapiens	RAD51 recombinase(RAD51)
GADD45G	ENSG00000130222	Homo sapiens	growth arrest and DNA damage inducible gamma(GADD45G)
GADD45B	ENSG00000099860	Homo sapiens	growth arrest and DNA damage inducible beta(GADD45B)
GADD45A	ENSG00000116717	Homo sapiens	growth arrest and DNA damage inducible alpha(GADD45A)
BID	ENSG00000015475	Homo sapiens	BH3 interacting domain death agonist(BID)
CXCL8	ENSG00000169429	Homo sapiens	C-X-C motif chemokine ligand 8(CXCL8)
TFG	ENSG00000114354	Homo sapiens	TRK-fused gene(TFG)
ZBTB16	ENSG00000109906	Homo sapiens	zinc finger and BTB domain containing 16(ZBTB16)
KIT	ENSG00000157404	Homo sapiens	KIT proto-oncogene receptor tyrosine kinase(KIT)
ZBTB17	ENSG00000116809	Homo sapiens	zinc finger and BTB domain containing 17(ZBTB17)
SUFU	ENSG00000107882	Homo sapiens	SUFU negative regulator of hedgehog signaling(SUFU)
STAT6	ENSG00000166888	Homo sapiens	signal transducer and activator of transcription 6(STAT6)
STAT4	ENSG00000138378	Homo sapiens	signal transducer and activator of transcription 4(STAT4)
BCL2	ENSG00000171791	Homo sapiens	BCL2, apoptosis regulator(BCL2)
FZD9	ENSG00000188763	Homo sapiens	frizzled class receptor 9(FZD9)
BIRC7	ENSG00000101197	Homo sapiens	baculoviral IAP repeat containing 7(BIRC7)
FZD1	ENSG00000157240	Homo sapiens	frizzled class receptor 1(FZD1)
BIRC5	ENSG00000089685	Homo sapiens	baculoviral IAP repeat containing 5(BIRC5)
FZD3	ENSG00000104290	Homo sapiens	frizzled class receptor 3(FZD3)
FZD2	ENSG00000180340	Homo sapiens	frizzled class receptor 2(FZD2)
MAPK10	ENSG00000109339	Homo sapiens	mitogen-activated protein kinase 10(MAPK10)
STAT1	ENSG00000115415	Homo sapiens	signal transducer and activator of transcription 1(STAT1)
FZD5	ENSG00000163251	Homo sapiens	frizzled class receptor 5(FZD5)
BIRC3	ENSG00000023445	Homo sapiens	baculoviral IAP repeat containing 3(BIRC3)
BIRC2	ENSG00000110330	Homo sapiens	baculoviral IAP repeat containing 2(BIRC2)
FZD4	ENSG00000174804	Homo sapiens	frizzled class receptor 4(FZD4)
STAT3	ENSG00000168610	Homo sapiens	signal transducer and activator of transcription 3(STAT3)
FZD7	ENSG00000155760	Homo sapiens	frizzled class receptor 7(FZD7)
STAT2	ENSG00000170581	Homo sapiens	signal transducer and activator of transcription 2(STAT2)
FZD6	ENSG00000164930	Homo sapiens	frizzled class receptor 6(FZD6)
ADCY9	ENSG00000162104	Homo sapiens	adenylate cyclase 9(ADCY9)
CALM3	ENSG00000160014	Homo sapiens	calmodulin 3(CALM3)
PTCH1	ENSG00000185920	Homo sapiens	patched 1(PTCH1)
PTCH2	ENSG00000117425	Homo sapiens	patched 2(PTCH2)
CALM2	ENSG00000143933	Homo sapiens	calmodulin 2(CALM2)
CALM1	ENSG00000198668	Homo sapiens	calmodulin 1(CALM1)
FGF19	ENSG00000162344	Homo sapiens	fibroblast growth factor 19(FGF19)
F2RL3	ENSG00000127533	Homo sapiens	F2R like thrombin/trypsin receptor 3(F2RL3)
FGF18	ENSG00000156427	Homo sapiens	fibroblast growth factor 18(FGF18)
PDGFB	ENSG00000100311	Homo sapiens	platelet derived growth factor subunit B(PDGFB)
PDGFA	ENSG00000197461	Homo sapiens	platelet derived growth factor subunit A(PDGFA)
FGF17	ENSG00000158815	Homo sapiens	fibroblast growth factor 17(FGF17)
MMP9	ENSG00000100985	Homo sapiens	matrix metallopeptidase 9(MMP9)
WNT3A	ENSG00000154342	Homo sapiens	Wnt family member 3A(WNT3A)
FGF16	ENSG00000196468	Homo sapiens	fibroblast growth factor 16(FGF16)
FGF10	ENSG00000070193	Homo sapiens	fibroblast growth factor 10(FGF10)
FOXO1	ENSG00000150907	Homo sapiens	forkhead box O1(FOXO1)
PMAIP1	ENSG00000141682	Homo sapiens	phorbol-12-myristate-13-acetate-induced protein 1(PMAIP1)
GSTM5	ENSG00000134201	Homo sapiens	glutathione S-transferase mu 5(GSTM5)
MMP2	ENSG00000087245	Homo sapiens	matrix metallopeptidase 2(MMP2)
MMP1	ENSG00000196611	Homo sapiens	matrix metallopeptidase 1(MMP1)
GSTM1	ENSG00000134184	Homo sapiens	glutathione S-transferase mu 1(GSTM1)
WNT2	ENSG00000105989	Homo sapiens	Wnt family member 2(WNT2)
PRKACG	ENSG00000165059	Homo sapiens	protein kinase cAMP-activated catalytic subunit gamma(PRKACG)
GSTM2	ENSG00000213366	Homo sapiens	glutathione S-transferase mu 2(GSTM2)
WNT1	ENSG00000125084	Homo sapiens	Wnt family member 1(WNT1)
GSTM3	ENSG00000134202	Homo sapiens	glutathione S-transferase mu 3(GSTM3)
WNT4	ENSG00000162552	Homo sapiens	Wnt family member 4(WNT4)
GSTM4	ENSG00000168765	Homo sapiens	glutathione S-transferase mu 4(GSTM4)
CSF3R	ENSG00000119535	Homo sapiens	colony stimulating factor 3 receptor(CSF3R)
PRKACA	ENSG00000072062	Homo sapiens	protein kinase cAMP-activated catalytic subunit alpha(PRKACA)
PRKACB	ENSG00000142875	Homo sapiens	protein kinase cAMP-activated catalytic subunit beta(PRKACB)
WNT6	ENSG00000115596	Homo sapiens	Wnt family member 6(WNT6)
NQO1	ENSG00000181019	Homo sapiens	NAD(P)H quinone dehydrogenase 1(NQO1)
FGF23	ENSG00000118972	Homo sapiens	fibroblast growth factor 23(FGF23)
FGF22	ENSG00000070388	Homo sapiens	fibroblast growth factor 22(FGF22)
FGF21	ENSG00000105550	Homo sapiens	fibroblast growth factor 21(FGF21)
FGF20	ENSG00000078579	Homo sapiens	fibroblast growth factor 20(FGF20)
STK4	ENSG00000101109	Homo sapiens	serine/threonine kinase 4(STK4)
WNT5A	ENSG00000114251	Homo sapiens	Wnt family member 5A(WNT5A)
FGFR2	ENSG00000066468	Homo sapiens	fibroblast growth factor receptor 2(FGFR2)
FGFR1	ENSG00000077782	Homo sapiens	fibroblast growth factor receptor 1(FGFR1)
FGFR4	ENSG00000160867	Homo sapiens	fibroblast growth factor receptor 4(FGFR4)
WNT5B	ENSG00000111186	Homo sapiens	Wnt family member 5B(WNT5B)
FGFR3	ENSG00000068078	Homo sapiens	fibroblast growth factor receptor 3(FGFR3)
GRB2	ENSG00000177885	Homo sapiens	growth factor receptor bound protein 2(GRB2)
ELK1	ENSG00000126767	Homo sapiens	ELK1, ETS transcription factor(ELK1)
KEAP1	ENSG00000079999	Homo sapiens	kelch like ECH associated protein 1(KEAP1)
ITGB1	ENSG00000150093	Homo sapiens	integrin subunit beta 1(ITGB1)
RBX1	ENSG00000100387	Homo sapiens	ring-box 1(RBX1)
ITGAV	ENSG00000138448	Homo sapiens	integrin subunit alpha V(ITGAV)
NKX3-1	ENSG00000167034	Homo sapiens	NK3 homeobox 1(NKX3-1)
AXIN2	ENSG00000168646	Homo sapiens	axin 2(AXIN2)
FN1	ENSG00000115414	Homo sapiens	fibronectin 1(FN1)
CSF1R	ENSG00000182578	Homo sapiens	colony stimulating factor 1 receptor(CSF1R)
AXIN1	ENSG00000103126	Homo sapiens	axin 1(AXIN1)
BRCA2	ENSG00000139618	Homo sapiens	BRCA2, DNA repair associated(BRCA2)
ITGA2	ENSG00000164171	Homo sapiens	integrin subunit alpha 2(ITGA2)
ITGA3	ENSG00000005884	Homo sapiens	integrin subunit alpha 3(ITGA3)
PLCG1	ENSG00000124181	Homo sapiens	phospholipase C gamma 1(PLCG1)
ITGA6	ENSG00000091409	Homo sapiens	integrin subunit alpha 6(ITGA6)
PLCG2	ENSG00000197943	Homo sapiens	phospholipase C gamma 2(PLCG2)
MTOR	ENSG00000198793	Homo sapiens	mechanistic target of rapamycin(MTOR)
IL3RA	ENSG00000185291	Homo sapiens	interleukin 3 receptor subunit alpha(IL3RA)
HSP90AB1	ENSG00000096384	Homo sapiens	heat shock protein 90 alpha family class B member 1(HSP90AB1)
IFNA21	ENSG00000137080	Homo sapiens	interferon alpha 21(IFNA21)
FASLG	ENSG00000117560	Homo sapiens	Fas ligand(FASLG)
TERC	ENSG00000277925	Homo sapiens	telomerase RNA component(TERC)
TERC	ENSG00000270141	Homo sapiens	telomerase RNA component(TERC)
AKT1	ENSG00000142208	Homo sapiens	AKT serine/threonine kinase 1(AKT1)
FOS	ENSG00000170345	Homo sapiens	Fos proto-oncogene, AP-1 transcription factor subunit(FOS)
PLCB3	ENSG00000149782	Homo sapiens	phospholipase C beta 3(PLCB3)
PLCB4	ENSG00000101333	Homo sapiens	phospholipase C beta 4(PLCB4)
CXCR4	ENSG00000121966	Homo sapiens	C-X-C motif chemokine receptor 4(CXCR4)
PLCB1	ENSG00000182621	Homo sapiens	phospholipase C beta 1(PLCB1)
TPR	ENSG00000047410	Homo sapiens	translocated promoter region, nuclear basket protein(TPR)
IFNGR2	ENSG00000159128	Homo sapiens	interferon gamma receptor 2 (interferon gamma transducer 1)(IFNGR2)
PLCB2	ENSG00000137841	Homo sapiens	phospholipase C beta 2(PLCB2)
IFNGR1	ENSG00000027697	Homo sapiens	interferon gamma receptor 1(IFNGR1)
AKT3	ENSG00000117020	Homo sapiens	AKT serine/threonine kinase 3(AKT3)
CHUK	ENSG00000213341	Homo sapiens	conserved helix-loop-helix ubiquitous kinase(CHUK)
TERT	ENSG00000164362	Homo sapiens	telomerase reverse transcriptase(TERT)
AKT2	ENSG00000105221	Homo sapiens	AKT serine/threonine kinase 2(AKT2)
PRKCA	ENSG00000154229	Homo sapiens	protein kinase C alpha(PRKCA)
HSP90AA1	ENSG00000080824	Homo sapiens	heat shock protein 90 alpha family class A member 1(HSP90AA1)
RALBP1	ENSG00000017797	Homo sapiens	ralA binding protein 1(RALBP1)
RUNX1T1	ENSG00000079102	Homo sapiens	RUNX1 translocation partner 1(RUNX1T1)
LEF1	ENSG00000138795	Homo sapiens	lymphoid enhancer binding factor 1(LEF1)
PRKCG	ENSG00000126583	Homo sapiens	protein kinase C gamma(PRKCG)
DAPK2	ENSG00000035664	Homo sapiens	death associated protein kinase 2(DAPK2)
ALK	ENSG00000171094	Homo sapiens	anaplastic lymphoma receptor tyrosine kinase(ALK)
DAPK3	ENSG00000167657	Homo sapiens	death associated protein kinase 3(DAPK3)
EML4	ENSG00000143924	Homo sapiens	echinoderm microtubule associated protein like 4(EML4)
PRKCB	ENSG00000166501	Homo sapiens	protein kinase C beta(PRKCB)
IFNAR1	ENSG00000142166	Homo sapiens	interferon alpha and beta receptor subunit 1(IFNAR1)
DAPK1	ENSG00000196730	Homo sapiens	death associated protein kinase 1(DAPK1)
SMO	ENSG00000128602	Homo sapiens	smoothened, frizzled class receptor(SMO)
IFNAR2	ENSG00000159110	Homo sapiens	interferon alpha and beta receptor subunit 2(IFNAR2)
CRKL	ENSG00000099942	Homo sapiens	CRK like proto-oncogene, adaptor protein(CRKL)
MDM2	ENSG00000135679	Homo sapiens	MDM2 proto-oncogene(MDM2)
WNT11	ENSG00000085741	Homo sapiens	Wnt family member 11(WNT11)
GSTP1	ENSG00000084207	Homo sapiens	glutathione S-transferase pi 1(GSTP1)
CKS1B	ENSG00000173207	Homo sapiens	CDC28 protein kinase regulatory subunit 1B(CKS1B)
WNT16	ENSG00000002745	Homo sapiens	Wnt family member 16(WNT16)
XIAP	ENSG00000101966	Homo sapiens	X-linked inhibitor of apoptosis(XIAP)
CAMK2G	ENSG00000148660	Homo sapiens	calcium/calmodulin dependent protein kinase II gamma(CAMK2G)
TCF7L2	ENSG00000148737	Homo sapiens	transcription factor 7 like 2(TCF7L2)
TCF7L1	ENSG00000152284	Homo sapiens	transcription factor 7 like 1(TCF7L1)
TPM3	ENSG00000143549	Homo sapiens	tropomyosin 3(TPM3)
RASGRP3	ENSG00000152689	Homo sapiens	RAS guanyl releasing protein 3(RASGRP3)
RASGRP4	ENSG00000171777	Homo sapiens	RAS guanyl releasing protein 4(RASGRP4)
RASGRP1	ENSG00000172575	Homo sapiens	RAS guanyl releasing protein 1(RASGRP1)
RASGRP2	ENSG00000068831	Homo sapiens	RAS guanyl releasing protein 2(RASGRP2)
CAMK2D	ENSG00000145349	Homo sapiens	calcium/calmodulin dependent protein kinase II delta(CAMK2D)
CAMK2B	ENSG00000058404	Homo sapiens	calcium/calmodulin dependent protein kinase II beta(CAMK2B)
IL2RG	ENSG00000147168	Homo sapiens	interleukin 2 receptor subunit gamma(IL2RG)
GSTO2	ENSG00000065621	Homo sapiens	glutathione S-transferase omega 2(GSTO2)
GSTO1	ENSG00000148834	Homo sapiens	glutathione S-transferase omega 1(GSTO1)
PIK3R3	ENSG00000117461	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 3(PIK3R3)
PIK3R3	ENSG00000278139	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 3(PIK3R3)
CAMK2A	ENSG00000070808	Homo sapiens	calcium/calmodulin dependent protein kinase II alpha(CAMK2A)
PIK3R1	ENSG00000145675	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 1(PIK3R1)
APC	ENSG00000134982	Homo sapiens	APC, WNT signaling pathway regulator(APC)
EPO	ENSG00000130427	Homo sapiens	erythropoietin(EPO)
PIK3R2	ENSG00000105647	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 2(PIK3R2)
PIK3R2	ENSG00000268173	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 2(PIK3R2)
MSH6	ENSG00000116062	Homo sapiens	mutS homolog 6(MSH6)
IL2RB	ENSG00000100385	Homo sapiens	interleukin 2 receptor subunit beta(IL2RB)
IL2RA	ENSG00000134460	Homo sapiens	interleukin 2 receptor subunit alpha(IL2RA)
MSH3	ENSG00000113318	Homo sapiens	mutS homolog 3(MSH3)
MSH2	ENSG00000095002	Homo sapiens	mutS homolog 2(MSH2)
IFNA10	ENSG00000186803	Homo sapiens	interferon alpha 10(IFNA10)
RALGDS	ENSG00000160271	Homo sapiens	ral guanine nucleotide dissociation stimulator(RALGDS)
WNT2B	ENSG00000134245	Homo sapiens	Wnt family member 2B(WNT2B)
MGST3	ENSG00000143198	Homo sapiens	microsomal glutathione S-transferase 3(MGST3)
SP1	ENSG00000185591	Homo sapiens	Sp1 transcription factor(SP1)
CKS2	ENSG00000123975	Homo sapiens	CDC28 protein kinase regulatory subunit 2(CKS2)
IFNA14	ENSG00000228083	Homo sapiens	interferon alpha 14(IFNA14)
IFNA13	ENSG00000233816	Homo sapiens	interferon alpha 13(IFNA13)
IFNA16	ENSG00000147885	Homo sapiens	interferon alpha 16(IFNA16)
CRK	ENSG00000167193	Homo sapiens	CRK proto-oncogene, adaptor protein(CRK)
MGST1	ENSG00000008394	Homo sapiens	microsomal glutathione S-transferase 1(MGST1)
F2R	ENSG00000181104	Homo sapiens	coagulation factor II thrombin receptor(F2R)
MGST2	ENSG00000085871	Homo sapiens	microsomal glutathione S-transferase 2(MGST2)
IFNA17	ENSG00000234829	Homo sapiens	interferon alpha 17(IFNA17)
